city,state,lat,lon,population
Abanda CDP,AL,33.091627,-85.527029,0
Abbeville city,AL,31.564706,-85.259121,0
Adamsville city,AL,33.602315,-86.971527,0
Addison town,AL,34.202681,-87.178004,0
Akron town,AL,32.879066,-87.740899,0
Alabaster city,AL,33.214355,-86.82308,0
Albertville city,AL,34.26313,-86.21066,0
Alexander City city,AL,32.916719,-85.940589,0
Alexandria CDP,AL,33.760819,-85.872008,0
Aliceville city,AL,33.123706,-88.159344,0
Allgood town,AL,33.907623,-86.516109,0
Altoona town,AL,34.040014,-86.305179,0
Andalusia city,AL,31.309436,-86.478031,0
Anderson town,AL,34.915675,-87.274274,0
Anniston city,AL,33.673469,-85.810891,0
Arab city,AL,34.332387,-86.501167,0
Ardmore town,AL,34.987838,-86.829022,0
Argo city,AL,33.691018,-86.505281,0
Ariton town,AL,31.597772,-85.713061,0
Arley town,AL,34.076234,-87.217831,0
Ashford city,AL,31.185284,-85.236236,0
Ashland town,AL,33.269892,-85.833706,0
Ashville city,AL,33.835197,-86.270015,0
Athens city,AL,34.779021,-86.950799,0
Atmore city,AL,31.124067,-87.457798,0
Attalla city,AL,33.986189,-86.121037,0
Auburn city,AL,32.607806,-85.494746,0
Autaugaville town,AL,32.432563,-86.658752,0
Avon town,AL,31.179727,-85.279211,0
Axis CDP,AL,30.922171,-88.02262,0
Babbie town,AL,31.302083,-86.319437,0
Baileyton town,AL,34.260858,-86.608788,0
Bakerhill town,AL,31.776923,-85.295408,0
Ballplay CDP,AL,34.023047,-85.801478,0
Banks town,AL,31.813264,-85.836434,0
Bay Minette city,AL,30.894436,-87.791306,0
Bayou La Batre city,AL,30.407586,-88.263271,0
Bear Creek town,AL,34.255481,-87.713399,0
Beatrice town,AL,31.733309,-87.209046,0
Beaverton town,AL,33.935411,-88.021778,0
Belgreen CDP,AL,34.47454,-87.861678,0
Belk town,AL,33.651641,-87.92861,0
Bellamy CDP,AL,32.463658,-88.131481,0
Belle Fontaine CDP,AL,30.489492,-88.10594,0
Benton town,AL,32.307931,-86.817546,0
Berlin town,AL,34.185005,-86.748955,0
Berry town,AL,33.666702,-87.609311,0
Bessemer city,AL,33.370858,-86.971522,0
Billingsley town,AL,32.664711,-86.706713,0
Birmingham city,AL,33.527174,-86.797036,0
Black town,AL,31.00977,-85.74442,0
Blountsville town,AL,34.075838,-86.583918,0
Blue Ridge CDP,AL,32.4989,-86.182436,0
Blue Springs town,AL,31.663516,-85.503526,0
Boaz city,AL,34.19902,-86.155151,0
Boligee town,AL,32.768081,-88.02859,0
Bon Air town,AL,33.259355,-86.327175,0
Bon Secour CDP,AL,30.318246,-87.72439,0
Boykin CDP,AL,32.068375,-87.294343,0
Brantley town,AL,31.581992,-86.256784,0
Brantleyville CDP,AL,33.219303,-86.882522,0
Brent city,AL,32.944893,-87.172088,0
Brewton city,AL,31.109175,-87.076583,0
Bridgeport city,AL,34.949312,-85.723765,0
Brighton city,AL,33.439551,-86.945404,0
Brilliant town,AL,34.025671,-87.769047,0
Bristow Cove CDP,AL,34.109216,-86.240993,0
Brook Highland CDP,AL,33.438035,-86.685262,0
Brookside town,AL,33.634617,-86.906314,0
Brookwood town,AL,33.239842,-87.331488,0
Broomtown CDP,AL,34.365728,-85.532112,0
Brundidge city,AL,31.717639,-85.81755,0
Bucks CDP,AL,31.016881,-88.026385,0
Butler town,AL,32.096479,-88.210781,0
Calera city,AL,33.122319,-86.745644,0
Calvert CDP,AL,31.149898,-88.021549,0
Camden city,AL,31.998493,-87.28895,0
Camp Hill town,AL,32.797327,-85.655833,0
Carbon Hill city,AL,33.894991,-87.522078,0
Cardiff town,AL,33.64729,-86.930637,0
Carlisle-Rockledge CDP,AL,34.114451,-86.124073,0
Carlton CDP,AL,31.348571,-87.835666,0
Carolina town,AL,31.23415,-86.521001,0
Carrollton town,AL,33.261903,-88.095071,0
Castleberry town,AL,31.299678,-87.029129,0
Catherine CDP,AL,32.18617,-87.469978,0
Cedar Bluff town,AL,34.221422,-85.588565,0
Center Point city,AL,33.643903,-86.684567,0
Centre city,AL,34.153059,-85.671683,0
Centreville city,AL,32.958967,-87.132043,0
Chatom town,AL,31.469145,-88.246019,0
Chelsea city,AL,33.309007,-86.635139,0
Cherokee town,AL,34.7577,-87.965589,0
Cherokee Ridge town,AL,34.420931,-86.563316,0
Chickasaw city,AL,30.77145,-88.079697,0
Childersburg city,AL,33.292558,-86.340864,0
Choccolocco CDP,AL,33.667728,-85.707191,0
Chunchula CDP,AL,30.927194,-88.2082,0
Citronelle city,AL,31.097269,-88.249843,0
Clanton city,AL,32.845572,-86.619494,0
Clay city,AL,33.696583,-86.608182,0
Clayhatchee town,AL,31.236925,-85.721478,0
Clayton city,AL,31.882277,-85.460454,0
Cleveland town,AL,34.002179,-86.561352,0
Clio city,AL,31.708516,-85.611039,0
Coaling city,AL,33.169901,-87.349887,0
Coats Bend CDP,AL,34.073273,-85.874602,0
Coffee Springs town,AL,31.165836,-85.910898,0
Coffeeville town,AL,31.766564,-88.086049,0
Coker town,AL,33.243752,-87.681329,0
Collinsville city,AL,34.267224,-85.86861,0
Colony town,AL,33.941393,-86.902001,0
Columbia town,AL,31.295351,-85.110202,0
Columbiana city,AL,33.191452,-86.615618,0
Concord CDP,AL,33.461988,-87.040429,0
Coosada town,AL,32.495394,-86.326543,0
Cordova town,AL,33.761788,-87.199416,0
Cottondale CDP,AL,33.193047,-87.454861,0
Cottonwood town,AL,31.054033,-85.29956,0
County Line town,AL,33.818902,-86.714706,0
Courtland town,AL,34.669946,-87.327892,0
Cowarts town,AL,31.206248,-85.309769,0
Creola town,AL,30.874249,-88.009536,0
Crossville town,AL,34.282697,-85.999737,0
Cuba town,AL,32.440733,-88.374798,0
Cullman city,AL,34.17687,-86.840656,0
Cullomburg CDP,AL,31.713061,-88.291774,0
Cusseta town,AL,32.787637,-85.305769,0
Dadeville city,AL,32.826114,-85.776201,0
Daleville city,AL,31.291534,-85.711711,0
Daphne city,AL,30.627931,-87.872087,0
Dauphin Island town,AL,30.250913,-88.171268,0
Daviston town,AL,33.056839,-85.634329,0
Dayton town,AL,32.350958,-87.641573,0
Deatsville town,AL,32.589044,-86.389059,0
Decatur city,AL,34.572995,-86.989901,0
Deer Park CDP,AL,31.218369,-88.328023,0
Delta CDP,AL,33.440524,-85.675905,0
Demopolis city,AL,32.499744,-87.826678,0
Detroit town,AL,34.027379,-88.167831,0
Dodge City town,AL,34.043275,-86.885524,0
Dora city,AL,33.728116,-87.081292,0
Dothan city,AL,31.233698,-85.406823,0
Double Springs town,AL,34.149648,-87.389447,0
Douglas town,AL,34.168258,-86.323386,0
Dozier town,AL,31.505407,-86.369235,0
Dunnavant CDP,AL,33.495171,-86.540245,0
Dutton town,AL,34.606152,-85.91185,0
Eagle Point CDP,AL,33.400912,-86.676753,0
East Brewton city,AL,31.09144,-87.055345,0
East Point CDP,AL,34.19121,-86.792253,0
Eclectic town,AL,32.640222,-86.041062,0
Edgewater CDP,AL,33.530099,-86.95279,0
Edwardsville town,AL,33.88374,-85.414124,0
Egypt CDP,AL,34.075938,-86.165054,0
Elba city,AL,31.417218,-86.077115,0
Elberta town,AL,30.373753,-87.595729,0
Eldridge town,AL,33.923053,-87.622869,0
Elkmont town,AL,34.932604,-86.976971,0
Elmore town,AL,32.556606,-86.341025,0
Emelle town,AL,32.728678,-88.316486,0
Emerald Mountain CDP,AL,32.447694,-86.094381,0
Enterprise city,AL,31.325529,-85.846071,0
Epes town,AL,32.695049,-88.141963,0
Equality CDP,AL,32.765659,-86.123185,0
Ethelsville town,AL,33.414066,-88.216093,0
Eufaula city,AL,31.909937,-85.152709,0
Eunola CDP,AL,31.031391,-85.833966,0
Eutaw city,AL,32.846247,-87.900332,0
Eva town,AL,34.326504,-86.765318,0
Evergreen city,AL,31.433216,-86.976081,0
Excel town,AL,31.426386,-87.343663,0
Fairfield city,AL,33.474802,-86.919407,0
Fairford CDP,AL,31.178002,-88.072784,0
Fairhope city,AL,30.52092,-87.879122,0
Fairview town,AL,34.250195,-86.677724,0
Falkville town,AL,34.377019,-86.909547,0
Faunsdale town,AL,32.457614,-87.593789,0
Fayette city,AL,33.694215,-87.831169,0
Fayetteville CDP,AL,33.168097,-86.442774,0
Fitzpatrick CDP,AL,32.210377,-85.873693,0
Five Points town,AL,33.017311,-85.351592,0
Flomaton town,AL,31.014816,-87.256016,0
Florala town,AL,31.022391,-86.318152,0
Florence city,AL,34.82981,-87.662202,0
Foley city,AL,30.397068,-87.66846,0
Forestdale CDP,AL,33.573701,-86.900047,0
Forkland town,AL,32.647435,-87.867436,0
Fort Deposit town,AL,31.986261,-86.566359,0
Fort Payne city,AL,34.457329,-85.689447,0
Fort Rucker CDP,AL,31.342576,-85.716072,0
Franklin town,AL,32.452693,-85.78541,0
Fredonia CDP,AL,32.983577,-85.292306,0
Frisco City town,AL,31.439485,-87.404182,0
Fruitdale CDP,AL,31.34979,-88.410937,0
Fruithurst town,AL,33.729539,-85.431249,0
Fulton town,AL,31.790989,-87.744212,0
Fultondale city,AL,33.617363,-86.801436,0
Fyffe town,AL,34.448957,-85.905167,0
Gadsden city,AL,34.006597,-86.016078,0
Gainesville town,AL,32.814934,-88.160791,0
Gallant CDP,AL,34.001318,-86.230171,0
Gantt town,AL,31.41074,-86.483524,0
Garden City town,AL,34.014688,-86.749054,0
Gardendale city,AL,33.674039,-86.80846,0
Gaylesville town,AL,34.267444,-85.561248,0
Geiger town,AL,32.868715,-88.318154,0
Geneva city,AL,31.043278,-85.875833,0
Georgiana town,AL,31.639134,-86.746762,0
Geraldine town,AL,34.359087,-86.002579,0
Gilbertown town,AL,31.866247,-88.307545,0
Glen Allen town,AL,33.892108,-87.732682,0
Glencoe city,AL,33.948339,-85.933606,0
Glenwood town,AL,31.671266,-86.173687,0
Goldville town,AL,33.084867,-85.777982,0
Good Hope city,AL,34.110689,-86.867104,0
Goodwater town,AL,33.060713,-86.052486,0
Gordo town,AL,33.322286,-87.903681,0
Gordon town,AL,31.143606,-85.092504,0
Gordonville town,AL,32.159179,-86.704235,0
Goshen town,AL,31.720015,-86.123245,0
Graham CDP,AL,33.455191,-85.323085,0
Grand Bay CDP,AL,30.472082,-88.344401,0
Grant town,AL,34.518173,-86.26043,0
Grayson Valley CDP,AL,33.646568,-86.641942,0
Graysville city,AL,33.633756,-86.941398,0
Greensboro city,AL,32.700968,-87.5937,0
Greenville city,AL,31.843072,-86.636951,0
Grimes town,AL,31.299869,-85.45029,0
Grove Hill town,AL,31.69867,-87.772868,0
Guin city,AL,33.98322,-87.902363,0
Gulfcrest CDP,AL,30.991106,-88.242231,0
Gulf Shores city,AL,30.277172,-87.702355,0
Guntersville city,AL,34.367947,-86.252323,0
Gurley town,AL,34.701364,-86.380271,0
Gu-Win town,AL,33.94433,-87.870376,0
Hackleburg town,AL,34.269355,-87.830402,0
Hackneyville CDP,AL,33.054654,-85.934423,0
Haleburg town,AL,31.409976,-85.138068,0
Haleyville city,AL,34.233832,-87.617574,0
Hamilton city,AL,34.138713,-87.970833,0
Hammondville town,AL,34.566232,-85.640348,0
Hanceville city,AL,34.06401,-86.764436,0
Hanover CDP,AL,33.002922,-86.200931,0
Harpersville town,AL,33.317725,-86.428431,0
Hartford city,AL,31.105348,-85.691225,0
Hartselle city,AL,34.440434,-86.940364,0
Harvest CDP,AL,34.85507,-86.758643,0
Hatton CDP,AL,34.560671,-87.413835,0
Hayden town,AL,33.894514,-86.744224,0
Hayneville town,AL,32.182595,-86.578588,0
Hazel Green CDP,AL,34.923656,-86.567392,0
Headland city,AL,31.354974,-85.357031,0
Heath town,AL,31.344839,-86.46905,0
Heflin city,AL,33.6474,-85.569339,0
Helena city,AL,33.283424,-86.879177,0
Henagar city,AL,34.630641,-85.730918,0
Highland Lake town,AL,33.894586,-86.422553,0
Highland Lakes CDP,AL,33.397611,-86.64792,0
Hillsboro town,AL,34.642586,-87.178489,0
Hissop CDP,AL,32.890568,-86.129601,0
Hobson CDP,AL,31.488725,-88.150928,0
Hobson City town,AL,33.618801,-85.846146,0
Hodges town,AL,34.334246,-87.92316,0
Hokes Bluff city,AL,33.989682,-85.862873,0
Hollins CDP,AL,33.121757,-86.126967,0
Hollis Crossroads CDP,AL,33.531333,-85.652862,0
Holly Pond town,AL,34.167686,-86.612067,0
Hollywood town,AL,34.717279,-85.965579,0
Holt CDP,AL,33.229745,-87.482894,0
Holtville CDP,AL,32.630299,-86.328004,0
Homewood city,AL,33.45855,-86.80965,0
Hoover city,AL,33.375128,-86.809416,0
Horn Hill town,AL,31.238137,-86.325163,0
Hueytown city,AL,33.408604,-87.016565,0
Huguley CDP,AL,32.843062,-85.239635,0
Huntsville city,AL,34.69772,-86.67667,0
Hurtsboro town,AL,32.24009,-85.41467,0
Hytop town,AL,34.896635,-86.089176,0
Ider town,AL,34.702599,-85.668958,0
Indian Springs Village city,AL,33.361209,-86.746856,0
Irondale city,AL,33.539914,-86.659082,0
Ivalee CDP,AL,34.037204,-86.147182,0
Jackson city,AL,31.532321,-87.891183,0
Jacksons' Gap town,AL,32.884019,-85.815046,0
Jacksonville city,AL,33.810066,-85.755217,0
Jasper city,AL,33.85111,-87.268348,0
Jemison city,AL,32.970705,-86.73307,0
Joppa CDP,AL,34.29955,-86.549946,0
Kansas town,AL,33.902808,-87.556598,0
Kellyton town,AL,32.979188,-86.034608,0
Kennedy town,AL,33.580722,-87.9855,0
Killen town,AL,34.860954,-87.529346,0
Kimberly city,AL,33.776982,-86.800198,0
Kinsey city,AL,31.296269,-85.334994,0
Kinston town,AL,31.219604,-86.170075,0
Ladonia CDP,AL,32.459709,-85.090423,0
La Fayette city,AL,32.899427,-85.400795,0
Lakeview town,AL,34.391675,-85.975573,0
Lake View city,AL,33.288266,-87.132653,0
Lanett city,AL,32.858649,-85.207788,0
Langston town,AL,34.545063,-86.09335,0
Leeds city,AL,33.546847,-86.571448,0
Leesburg town,AL,34.178627,-85.777897,0
Leighton town,AL,34.69368,-87.524282,0
Leroy CDP,AL,31.494971,-87.972773,0
Lester town,AL,34.982751,-87.155534,0
Level Plains town,AL,31.307125,-85.768722,0
Lexington town,AL,34.959351,-87.37283,0
Libertyville town,AL,31.24005,-86.456955,0
Lillian CDP,AL,30.418904,-87.420751,0
Lincoln city,AL,33.580169,-86.127876,0
Linden town,AL,32.30136,-87.792583,0
Lineville city,AL,33.312832,-85.752278,0
Lipscomb city,AL,33.426005,-86.926103,0
Lisman town,AL,32.171729,-88.284092,0
Littleville town,AL,34.595121,-87.670729,0
Livingston city,AL,32.595549,-88.186929,0
Loachapoka town,AL,32.607946,-85.598479,0
Lockhart town,AL,31.013011,-86.350273,0
Locust Fork town,AL,33.876794,-86.647093,0
Lookout Mountain CDP,AL,34.115916,-85.965464,0
Louisville town,AL,31.781047,-85.558336,0
Lowndesboro town,AL,32.276422,-86.610848,0
Loxley city,AL,30.684588,-87.739213,0
Luverne city,AL,31.718941,-86.269082,0
Lynn town,AL,34.057591,-87.548643,0
McCalla CDP,AL,33.303112,-87.02666,0
McDonald Chapel CDP,AL,33.518576,-86.938462,0
Macedonia CDP,AL,33.403139,-88.239221,0
McIntosh town,AL,31.264957,-88.028369,0
McKenzie town,AL,31.54647,-86.725954,0
McMullen town,AL,33.1481,-88.175749,0
Madison city,AL,34.710533,-86.76228,0
Madrid town,AL,31.035635,-85.399205,0
Magnolia Springs town,AL,30.40341,-87.775895,0
Malcolm CDP,AL,31.198806,-88.000624,0
Malvern town,AL,31.143698,-85.522973,0
Maplesville town,AL,32.784391,-86.879694,0
Marbury CDP,AL,32.672984,-86.463728,0
Margaret city,AL,33.672861,-86.463942,0
Marion city,AL,32.631968,-87.317333,0
Maytown town,AL,33.549954,-87.000043,0
Meadowbrook CDP,AL,33.395235,-86.704373,0
Megargel CDP,AL,31.378141,-87.430649,0
Memphis town,AL,33.137044,-88.305942,0
Mentone town,AL,34.563209,-85.589704,0
Meridianville CDP,AL,34.874913,-86.580559,0
Midfield city,AL,33.455272,-86.922414,0
Midland City city,AL,31.315675,-85.493674,0
Midway town,AL,32.076373,-85.524417,0
Mignon CDP,AL,33.18658,-86.256886,0
Millbrook city,AL,32.501474,-86.373914,0
Millerville CDP,AL,33.191458,-85.929828,0
Millport town,AL,33.555935,-88.082382,0
Millry town,AL,31.621199,-88.327956,0
Minor CDP,AL,33.539011,-86.940073,0
Mobile city,AL,30.668246,-88.107853,0
Monroeville city,AL,31.516223,-87.327714,0
Montevallo city,AL,33.126053,-86.847702,0
Montgomery city,AL,32.348503,-86.267307,0
Moody city,AL,33.603429,-86.493786,0
Moores Mill CDP,AL,34.852143,-86.52038,0
Mooresville town,AL,34.625883,-86.880025,0
Morris city,AL,33.746223,-86.800755,0
Morrison Crossroads CDP,AL,33.417996,-85.488284,0
Mosses town,AL,32.188758,-86.679435,0
Moulton city,AL,34.488302,-87.282707,0
Moundville town,AL,32.996542,-87.627545,0
Mountain Brook city,AL,33.491488,-86.73447,0
Mount Olive CDP,AL,33.078454,-86.13304,0
Mount Olive CDP,AL,33.669286,-86.87549,0
Mount Vernon town,AL,31.087727,-88.013166,0
Movico CDP,AL,31.062763,-88.026619,0
Mulga town,AL,33.556313,-86.972304,0
Munford town,AL,33.527644,-85.953809,0
Muscle Shoals city,AL,34.742657,-87.633767,0
Myrtlewood town,AL,32.252088,-87.949261,0
Nanafalia CDP,AL,32.111393,-87.995757,0
Nances Creek CDP,AL,33.855501,-85.669104,0
Napier Field town,AL,31.314925,-85.454929,0
Natural Bridge town,AL,34.092195,-87.601,0
Nauvoo town,AL,33.984386,-87.48544,0
Nectar town,AL,33.979779,-86.620614,0
Needham town,AL,31.987,-88.336563,0
Newbern town,AL,32.591672,-87.535614,0
New Brockton town,AL,31.37671,-85.919028,0
New Hope city,AL,34.537972,-86.412372,0
New Market CDP,AL,34.892335,-86.425818,0
New Site town,AL,33.026041,-85.784536,0
Newton town,AL,31.341229,-85.588307,0
New Union CDP,AL,34.133682,-86.228002,0
Newville town,AL,31.420604,-85.33669,0
Nixburg CDP,AL,32.855488,-86.100838,0
North Courtland town,AL,34.680023,-87.305717,0
North Johns town,AL,33.367769,-87.100725,0
Northport city,AL,33.257565,-87.596396,0
Notasulga town,AL,32.555409,-85.668577,0
Oak Grove town,AL,33.190359,-86.303727,0
Oak Hill town,AL,31.92162,-87.085234,0
Oakman town,AL,33.714322,-87.388699,0
Odenville city,AL,33.700875,-86.423371,0
Ohatchee town,AL,33.789759,-86.029062,0
Oneonta city,AL,33.947038,-86.489793,0
Onycha town,AL,31.225693,-86.276024,0
Opelika city,AL,32.660739,-85.37889,0
Opp city,AL,31.284375,-86.257442,0
Orange Beach city,AL,30.293987,-87.595371,0
Orrville town,AL,32.306769,-87.245447,0
Our Town CDP,AL,32.842211,-85.967035,0
Owens Cross Roads city,AL,34.585458,-86.455027,0
Oxford city,AL,33.59641,-85.868219,0
Ozark city,AL,31.451615,-85.645035,0
Paint Rock town,AL,34.660934,-86.333952,0
Panola CDP,AL,32.946819,-88.262266,0
Parrish town,AL,33.732321,-87.280127,0
Pea Ridge CDP,AL,33.133805,-86.937949,0
Pelham city,AL,33.32183,-86.742197,0
Pell City city,AL,33.560312,-86.263634,0
Pennington town,AL,32.200612,-88.037572,0
Penton CDP,AL,33.009832,-85.474824,0
Perdido CDP,AL,31.005634,-87.630272,0
Perdido Beach town,AL,30.353879,-87.5048,0
Peterman CDP,AL,31.583669,-87.263042,0
Petrey town,AL,31.85216,-86.204007,0
Phenix City city,AL,32.453709,-85.031019,0
Phil Campbell town,AL,34.351547,-87.707359,0
Pickensville town,AL,33.235782,-88.289443,0
Piedmont city,AL,33.927557,-85.615267,0
Pike Road city,AL,32.273609,-86.118927,0
Pinckard town,AL,31.318989,-85.537836,0
Pine Apple town,AL,31.872155,-86.989059,0
Pine Hill town,AL,31.985884,-87.587516,0
Pine Level CDP,AL,32.579539,-86.454318,0
Pine Ridge town,AL,34.447915,-85.783831,0
Pinson city,AL,33.709262,-86.663613,0
Pisgah town,AL,34.684366,-85.84601,0
Pleasant Grove city,AL,33.493967,-86.97815,0
Pleasant Groves town,AL,34.737619,-86.197637,0
Point Clear CDP,AL,30.486112,-87.911132,0
Pollard town,AL,31.023877,-87.172978,0
Powell town,AL,34.532588,-85.897553,0
Prattville city,AL,32.449041,-86.449401,0
Priceville city,AL,34.529583,-86.882177,0
Prichard city,AL,30.773337,-88.131416,0
Providence town,AL,32.342386,-87.776115,0
Putnam CDP,AL,32.018084,-88.033057,0
Ragland town,AL,33.748325,-86.135927,0
Rainbow City city,AL,33.928777,-86.084228,0
Rainsville city,AL,34.494364,-85.836505,0
Ranburne town,AL,33.525853,-85.339013,0
Ray CDP,AL,32.868141,-86.045252,0
Red Bay city,AL,34.436097,-88.136515,0
Redland CDP,AL,32.481426,-86.143759,0
Red Level town,AL,31.406711,-86.606217,0
Redstone Arsenal CDP,AL,34.687763,-86.661172,0
Reece City town,AL,34.077241,-86.034498,0
Reeltown CDP,AL,32.574211,-85.819562,0
Reform town,AL,33.37826,-88.017273,0
Rehobeth town,AL,31.124507,-85.439607,0
Remlap CDP,AL,33.806972,-86.593941,0
Repton town,AL,31.409716,-87.238931,0
Ridgeville town,AL,34.056929,-86.102874,0
River Falls town,AL,31.352397,-86.544609,0
Riverside city,AL,33.616394,-86.204357,0
Riverview town,AL,31.06126,-87.077531,0
Roanoke city,AL,33.145305,-85.369526,0
Robertsdale city,AL,30.557139,-87.704723,0
Rock Creek CDP,AL,33.477227,-87.081249,0
Rockford town,AL,32.896866,-86.208346,0
Rock Mills CDP,AL,33.15994,-85.28107,0
Rockville CDP,AL,31.405776,-87.844212,0
Rogersville town,AL,34.827714,-87.284092,0
Rosa town,AL,33.992756,-86.500325,0
Russellville city,AL,34.505719,-87.728123,0
Rutledge town,AL,31.724072,-86.302008,0
St. Florian town,AL,34.874098,-87.623736,0
St. Stephens CDP,AL,31.571111,-88.052834,0
Saks CDP,AL,33.711401,-85.853698,0
Samson town,AL,31.112417,-86.046735,0
Sand Rock town,AL,34.231228,-85.770416,0
Sanford town,AL,31.298819,-86.398848,0
Saraland city,AL,30.854573,-88.109844,0
Sardis City town,AL,34.172413,-86.119104,0
Satsuma city,AL,30.857874,-88.063383,0
Scottsboro city,AL,34.64462,-86.048155,0
Section town,AL,34.581644,-85.984942,0
Selma city,AL,32.416983,-87.035702,0
Selmont-West Selmont CDP,AL,32.378253,-87.006888,0
Semmes city,AL,30.796223,-88.24759,0
Sheffield city,AL,34.757019,-87.697085,0
Shelby CDP,AL,33.106882,-86.585403,0
Shiloh town,AL,34.462666,-85.877617,0
Shoal Creek CDP,AL,33.430763,-86.610925,0
Shorter town,AL,32.411501,-85.972808,0
Silas town,AL,31.767802,-88.325923,0
Silverhill town,AL,30.545359,-87.750557,0
Sims Chapel CDP,AL,31.249255,-88.142971,0
Sipsey town,AL,33.822119,-87.082918,0
Skyline town,AL,34.798524,-86.12243,0
Slocomb city,AL,31.112126,-85.59866,0
Smiths Station city,AL,32.522852,-85.099425,0
Smoke Rise CDP,AL,33.879942,-86.824683,0
Snead town,AL,34.116228,-86.390916,0
Somerville town,AL,34.467053,-86.791203,0
Southside city,AL,33.890841,-86.01802,0
South Vinemont town,AL,34.235567,-86.863965,0
Spanish Fort city,AL,30.722968,-87.865917,0
Spring Garden CDP,AL,33.972965,-85.555756,0
Springville city,AL,33.74052,-86.484086,0
Spruce Pine CDP,AL,34.39287,-87.729597,0
Standing Rock CDP,AL,33.08569,-85.239849,0
Stapleton CDP,AL,30.735558,-87.797727,0
Steele town,AL,33.941378,-86.192107,0
Sterrett CDP,AL,33.442198,-86.461045,0
Stevenson town,AL,34.876797,-85.81435,0
Stewartville CDP,AL,33.075532,-86.260693,0
Stockton CDP,AL,31.001245,-87.873929,0
Sulligent town,AL,33.891189,-88.126633,0
Sumiton city,AL,33.749269,-87.046903,0
Summerdale town,AL,30.476741,-87.687561,0
Susan Moore town,AL,34.072993,-86.414156,0
Sweet Water town,AL,32.104614,-87.861889,0
Sylacauga city,AL,33.18867,-86.274799,0
Sylvania town,AL,34.562039,-85.804722,0
Sylvan Springs town,AL,33.530194,-87.031158,0
Talladega city,AL,33.431757,-86.099454,0
Talladega Springs town,AL,33.120452,-86.437761,0
Tallassee city,AL,32.532665,-85.891993,0
Tarrant city,AL,33.592897,-86.766253,0
Taylor city,AL,31.168811,-85.47579,0
Theodore CDP,AL,30.538686,-88.187573,0
Thomaston town,AL,32.268277,-87.623706,0
Thomasville city,AL,31.915011,-87.737204,0
Thorsby city,AL,32.916909,-86.720335,0
Tibbie CDP,AL,31.37049,-88.243862,0
Tidmore Bend CDP,AL,34.033184,-85.926387,0
Tillmans Corner CDP,AL,30.581533,-88.21278,0
Town Creek town,AL,34.671301,-87.407763,0
Toxey town,AL,31.910712,-88.309146,0
Trafford town,AL,33.818713,-86.746502,0
Triana city,AL,34.587779,-86.748488,0
Trinity city,AL,34.597445,-87.081354,0
Troy city,AL,31.80196,-85.96713,0
Trussville city,AL,33.655233,-86.563239,0
Tuscaloosa city,AL,33.234404,-87.5283,0
Tuscumbia city,AL,34.718502,-87.702586,0
Tuskegee city,AL,32.418723,-85.682509,0
Twin town,AL,33.992314,-87.852295,0
Underwood-Petersville CDP,AL,34.876112,-87.698157,0
Union town,AL,32.99381,-87.907179,0
Union Grove town,AL,34.406172,-86.451667,0
Union Springs city,AL,32.139506,-85.714623,0
Uniontown city,AL,32.44662,-87.487271,0
Uriah CDP,AL,31.307365,-87.499213,0
Valley city,AL,32.801427,-85.204438,0
Valley Grande city,AL,32.486872,-87.032773,0
Valley Head town,AL,34.556234,-85.623008,0
Vance city,AL,33.173992,-87.226627,0
Vandiver CDP,AL,33.458856,-86.529222,0
Vernon town,AL,33.758816,-88.114291,0
Vestavia Hills city,AL,33.462496,-86.739508,0
Vina town,AL,34.376175,-88.060572,0
Vincent town,AL,33.383145,-86.402544,0
Vinegar Bend CDP,AL,31.259093,-88.367264,0
Vredenburgh town,AL,31.823234,-87.318077,0
Wadley town,AL,33.1234,-85.568592,0
Waldo town,AL,33.387083,-86.041075,0
Walnut Grove town,AL,34.064595,-86.28717,0
Warrior city,AL,33.814858,-86.81565,0
Waterloo town,AL,34.917199,-88.064373,0
Waverly town,AL,32.730078,-85.570999,0
Weaver city,AL,33.75907,-85.809363,0
Webb town,AL,31.257237,-85.289622,0
Wedowee town,AL,33.308004,-85.4865,0
Weogufka CDP,AL,33.021724,-86.309146,0
West Blocton town,AL,33.118176,-87.125225,0
West End-Cobb Town CDP,AL,33.651481,-85.876553,0
West Jefferson town,AL,33.673375,-87.040582,0
Westover town,AL,33.36734,-86.533986,0
West Point town,AL,34.238735,-86.964017,0
Wetumpka city,AL,32.540376,-86.206999,0
Whatley CDP,AL,31.646343,-87.710836,0
White Hall town,AL,32.297411,-86.715776,0
White Plains CDP,AL,33.759312,-85.68847,0
Whitesboro CDP,AL,34.169004,-86.058499,0
Wilsonville town,AL,33.240752,-86.491105,0
Wilton town,AL,33.081565,-86.879655,0
Winfield city,AL,33.934717,-87.79131,0
Woodland town,AL,33.375627,-85.397439,0
Woodstock town,AL,33.217498,-87.148433,0
Woodville town,AL,34.629535,-86.283558,0
Yellow Bluff town,AL,31.962341,-87.477359,0
York city,AL,32.500586,-88.291394,0
Adak city,AK,51.909889,-176.598067,0
Akhiok city,AK,56.948329,-154.215306,0
Akiachak CDP,AK,60.920991,-161.402199,0
Akiak city,AK,60.912838,-161.216225,0
Akutan city,AK,54.139979,-165.763026,0
Alakanuk city,AK,62.710997,-164.649719,0
Alatna CDP,AK,66.563353,-152.837612,0
Alcan Border CDP,AK,62.703078,-141.193584,0
Aleknagik city,AK,59.288961,-158.664343,0
